x,f,potential
0,0,-0
1,0.7259433116555019,-0.7259433116555019
2,1.3058176405875885,-2.0317609522430904
3,1.7456062131454058,-3.777367165388496
4,2.054801407742584,-5.83216857313108
5,2.245751633986929,-8.077920207118009
6,2.3328656233135465,-10.410785830431555
7,2.3317641236152973,-12.742549954046853
8,2.2584629254000443,-15.001012879446897
9,2.128653540418247,-17.129666419865146
10,1.9571241830065382,-19.086790602871684
11,1.7573394552958739,-20.844130058167558
12,1.5411764705882405,-22.385306528755798
13,1.3188003262230499,-23.704106854978846
14,1.0986533315787153,-24.802760186557563
15,0.8875294117647066,-25.69028959832227
16,0.6907062011796583,-26.380995799501928
17,0.5121109498468002,-26.89310674934873
18,0.3545011374715621,-27.24760788682029
19,0.2196456331108898,-27.46725351993118
20,0.1084967320261434,-27.575750251957324
21,0.0213471357627526,-27.597097387720076
22,-0.042031171442936,-27.55506621627714
23,-0.08226710849391594,-27.472799107783224
24,-0.100289296046288,-27.372509811736936
25,-0.09724214889207872,-27.275267662844858
26,-0.07441747454868519,-27.200850188296172
27,-0.03319960402230038,-27.167650584273872
28,0.024977919095569234,-27.19262850336944
29,0.09866595039842707,-27.29129445376787
30,0.18642533936651873,-27.477719793134387
31,0.2868459850263889,-27.764565778160776
32,0.3985606227509706,-28.163126400911747
33,0.5202544147276029,-28.68338081563935
34,0.650671236789492,-29.33405205242884
35,0.7886173956762192,-30.12266944810506
36,0.9329633740288585,-31.05563282213392
37,1.0826440845793783,-32.138276906713294
38,1.2366580182326032,-33.3749349249459
39,1.3940655908381103,-34.76900051578401
40,1.5539869281045782,-36.322987443888586
41,1.715599275109689,-38.038586718998275
42,1.8781341741872382,-39.91672089318551
43,2.0408745208473107,-41.957595414032824
44,2.2031515802668054,-44.16074699429963
45,2.3643420254699805,-46.52508901976961
46,2.523865041512096,-49.048954061281705
47,2.681179526876541,-51.730133588158246
48,2.8357814131569796,-54.565915001315226
49,2.9872011163146723,-57.5531161176299
50,3.135001126887545,-60.68811724451744
51,3.278773742085974,-63.96689098660342
52,3.4181389394245656,-67.38502992602798
53,3.5527423891546874,-70.93777231518267
54,3.68225360107855,-74.62002591626123
55,3.8063642001812923,-78.42639011644252
56,3.924786324786325,-82.35117644122884
57,4.037251140521974,-86.38842758175082
58,4.143507463204912,-90.53193504495573
59,4.243320483737605,-94.77525552869334
60,4.336470588235301,-99.11172611692864
61,4.422752266804977,-103.53447838373361
62,4.50197310466757,-108.03645148840118
63,4.573952849622344,-112.61040433802353
64,4.638522550182586,-117.24892688820611
65,4.6955237590531596,-121.94445064725927
66,4.7448077969623625,-126.68925844422164
67,4.78623507219757,-131.4754935164192
68,4.819674451521593,-136.29516796794078
69,4.845002678459494,-141.1401706464003
70,4.862103835244795,-146.0022744816451
71,4.870868844995584,-150.87314332664067
72,4.871195010955674,-155.74433833759633
73,4.862985589883834,-160.60732392748017
74,4.846149396904224,-165.4534733243844
75,4.820600439345867,-170.27407376373026
76,4.786257577296894,-175.06033134102717
77,4.743044208782692,-179.80337554980986
78,4.690887977646341,-184.49426352745618
79,4.629720502365487,-189.12398402982168
80,4.559477124183019,-193.6834611540047
81,4.480096673060842,-198.16355782706555
82,4.391521250087152,-202.5550790771527
83,4.293696025078532,-206.84877510223123
84,4.18656904822015,-211.03534415045138
85,4.070091074681244,-215.10543522513262
86,3.9442154012280497,-219.04965062636066
87,3.8088977139356217,-222.8585483402963
88,3.6640959461715283,-226.52264428646782
89,3.509770146090716,-230.03241443255854
90,3.3458823529411745,-233.3782967854997
91,3.1723964815354293,-236.55069326703514
92,2.9892782142941456,-239.53997148132927
93,2.796494900313988,-242.33646638164328
94,2.5940154609555606,-244.93048184259882
95,2.381810301485757,-247.31229214408458
96,2.159851228344934,-249.4721433724295
97,1.928111371642828,-251.40025474407236
98,1.686565112517087,-253.08681985658944
99,1.4351880150158252,-254.52200787160527
100,1.1739567621920628,-255.69596463379733
101,0.9028490961205478,-256.5988137299179
102,0.6218437615698065,-257.22065749148766
103,0.3309204530814611,-257.55157794456915
104,0.030059765228003243,-257.5816377097971
105,-0.28075685416399665,-257.3008808556331
106,-0.6015471480215808,-256.6993337076116
107,-0.9323280914470047,-255.76700561616457
108,-1.273115930722426,-254.49388968544213
109,-1.623926220055111,-252.86996346538703
110,-1.9847738562091592,-250.88518960917787
111,-2.3556731111594047,-248.52951649801847
112,-2.736637662893756,-245.7928788351247
113,-3.1276806244810444,-242.66519821064367
114,-3.528814571513891,-239.13638363912978
115,-3.940051568027826,-235.19633207110195
116,-4.3614031909915525,-230.8349288801104
117,-4.792880553456385,-226.042048326654
118,-5.234494326446949,-220.80755400020706
119,-5.686254759670035,-215.121299240537
120,-6.148171701112858,-208.97312753942415
